gene,tumor_enrichment,CI_lower,CI_upper
Pten,2.2621088310255133,1.9252241126264888,2.8179829262927583
Lkb1,0.6134537718521899,0.5525924183177277,0.6770292596777346
Nf1,1.7622494617665247,1.651829078004879,1.9866300760079405
Setd2,0.7117014788893966,0.6204533801406549,0.8193815105881125
Stag2,0.6810538238810812,0.6122099018478777,0.7618826594368934
KrasWT,1.1022757002052403,1.038588277836119,1.1676129556218984
Tsc1,1.038618036330038,0.9635760925868472,1.1047496039719873
Rb1,0.9705434564957266,0.9067916592256768,1.022437896490787
Fbxw7,0.9332712320026212,0.8658241268913023,0.992145849212612
Rnf43,0.944184555558475,0.8881261767816557,1.0043742693475204
Rbm10,0.931227082237771,0.8681495083781484,1.0087467897154112
Mga,1.1701271048450097,1.1145957292297668,1.2302221131927846
Keap1,0.9123770690377494,0.8225378957369148,0.9701289351959136
Kmt2d,0.880143628672229,0.8093302555056867,0.9497043897930764
Smad4,0.747866525826484,0.6949230794258989,0.7890035804643539
Cmtr2,0.828566332516633,0.7305193851683872,0.9155188955451308
p53,2.235916805931532,2.030145260939653,2.570465374220278
Cdkn2a,1.6268467851337949,1.514235030939809,1.7930238433265595
Nf2,1.033924255724613,0.985767617353256,1.0851732866946395
Apc,0.9823795213586756,0.9170197989708708,1.0413639032350963
Ptprd,1.0344307111984026,0.9883366714526736,1.0988763622741822
Atm,0.841605214800458,0.7797129830889854,0.914547335531225
Msh2,0.9836466131121973,0.9451690815457676,1.0265345611849437
Arid2,0.7264030069182655,0.6652691372674862,0.8067683560960585
Kdm6a,1.0642722269314122,1.010571324946214,1.111774455311321
Atrx,0.9477133684696432,0.8865018534434199,1.0307942985990797
Brca2,0.9486211710823778,0.852402902947954,1.0688947341212776
Palb2,0.9036962423148148,0.8528478398885576,0.9474880650923206
